res: ResultSet({'('mem_use', None)': [{'time': '1970-01-01T00:00:00Z', 'sum': 1675}]})
res: 1675
item: {'time': '2022-12-12T01:16:47.002004Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:47.102396Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:47.202416Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:47.303246Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:47.403315Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:47.504053Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:47.603927Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:47.704705Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:47.805018Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:47.904136Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.003058Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.102910Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.202543Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.302744Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.403166Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.503444Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.603970Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.704306Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.804740Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:48.904095Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.003934Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.102064Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.202375Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.302527Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.403064Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.503499Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.603705Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.704406Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.804817Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:49.904042Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.003718Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.102897Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.202164Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.302885Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.403033Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.503630Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.603728Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.704199Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.804528Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:50.904687Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.004277Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.102811Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.203075Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.302191Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.402516Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.503091Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.603597Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.703724Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.804565Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:51.907547Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.007114Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.106762Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.214532Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.309830Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.395, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.411920Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.506346Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.605556Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.706080Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.805102Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:52.905031Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:53.002978Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:53.102991Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:53.203217Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:53.303768Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:53.404446Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:53.504809Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:16:53.605025Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.473, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:04.890999Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
