alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints
deren10,1,pmie,0.0,0.0,0.0,0.0,5.113,5.113,5.113,0.0,0.0049931640625,0.0049931640625,0.0049931640625,0.0,-1,-1,-1,-1,-1
deren10,1,pmcd,0.05051807017543859,0.04209473684210526,0.05263157894736842,0.004708792993521011,5.305000000000004,5.305000000000002,5.305000000000005,0.004708792993521011,0.005180664062500004,0.005180664062500002,0.005180664062500005,1.2266347333466993e-18,-1,-1,-1,-1,-1
deren10,1,pmdaproc,0.44283877192982457,0.4211052631578947,0.45617543859649123,0.013159175732965512,47.09799999999997,47.09799999999996,47.097999999999985,0.013159175732965512,0.04599414062499997,0.045994140624999964,0.045994140624999985,7.601177430610146e-18,-1,-1,-1,-1,-1
deren10,1,pmdalinux,0.01297421052631579,0.0,0.02630263157894737,0.012248670061788279,5.132999999999998,5.132999999999993,5.133000000000003,0.012248670061788279,0.005012695312499998,0.005012695312499993,0.005012695312500003,3.750775438578153e-18,-1,-1,-1,-1,-1
deren10,1,pmdaperfevent,0.00824561403508772,0.0,0.017543859649122806,0.007933627406733342,6.940999999999996,6.940999999999991,6.941000000000001,0.007933627406733342,0.006778320312499996,0.006778320312499991,0.006778320312500001,4.790161764288452e-18,-1,-1,-1,-1,-1
deren10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.766026140350874,52.286526315789466,53.369052631578946,0.40943617865957077,-1
deren10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1247
deren10,0.5,pmie,0.0,0.0,0.0,0.0,5.113000000000012,5.113,5.113000000000028,0.0,0.004993164062500012,0.0049931640625,0.004993164062500027,1.2040405611864206e-17,-1,-1,-1,-1,-1
deren10,0.5,pmcd,0.05930752136752136,0.051294871794871785,0.06837606837606838,0.007705994243843051,5.3049999999999935,5.304999999999981,5.305000000000005,0.007705994243843051,0.005180664062499994,0.0051806640624999815,0.005180664062500005,1.1100874910807798e-17,-1,-1,-1,-1,-1
deren10,0.5,pmdaproc,0.9440158974358974,0.9229641025641027,0.9737435897435898,0.01892740850986761,47.09799999999996,47.09799999999996,47.09799999999997,0.01892740850986761,0.045994140624999964,0.045994140624999964,0.04599414062499997,3.800588715305073e-18,-1,-1,-1,-1,-1
deren10,0.5,pmdalinux,0.038110256410256414,0.025628205128205128,0.051256410256410256,0.00939011153335305,5.1330000000000044,5.132999999999996,5.133000000000015,0.00939011153335305,0.005012695312500004,0.005012695312499996,0.005012695312500015,7.620946456013688e-18,-1,-1,-1,-1,-1
deren10,0.5,pmdaperfevent,0.0020502564102564103,0.0,0.010251282051282052,0.00458451270463803,6.941000000000004,6.940999999999991,6.941000000000015,0.00458451270463803,0.006778320312500004,0.006778320312499991,0.006778320312500015,9.281175896849344e-18,-1,-1,-1,-1,-1
deren10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102.97267863247859,102.38487179487171,104.21607692307693,0.7242210557403498,-1
deren10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1247
deren10,0.25,pmie,0.0,0.0,0.0,0.0,5.113000000000027,5.113,5.113000000000042,0.0,0.0049931640625000264,0.0049931640625,0.004993164062500041,1.6473024005889853e-17,-1,-1,-1,-1,-1
deren10,0.25,pmcd,0.09835149285698987,0.08838291139240506,0.10128172588832487,0.005583497293894924,5.305000000000002,5.304999999999984,5.305000000000015,0.005583497293894924,0.005180664062500002,0.005180664062499984,0.0051806640625000145,1.2623019062120707e-17,-1,-1,-1,-1,-1
deren10,0.25,pmdaproc,1.7349590021204135,1.7205316455696202,1.7463481012658228,0.00935410596091049,47.09800000000001,47.09799999999996,47.0980000000002,0.00935410596091049,0.04599414062500001,0.045994140624999964,0.04599414062500019,1.0167314776527029e-16,-1,-1,-1,-1,-1
deren10,0.25,pmdalinux,0.08889168326586562,0.07598101265822785,0.10140506329113923,0.011800849387759197,5.133000000000015,5.132999999999996,5.133000000000027,0.011800849387759197,0.005012695312500015,0.005012695312499996,0.005012695312500026,1.237321236587713e-17,-1,-1,-1,-1,-1
deren10,0.25,pmdaperfevent,0.0,0.0,0.0,0.0,6.940999999999998,6.940999999999964,6.941000000000018,0.0,0.006778320312499998,0.006778320312499965,0.006778320312500017,2.0640658142540495e-17,-1,-1,-1,-1,-1
deren10,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201.58753196577342,201.327148734177,201.91671573604023,0.2368697199993498,-1
deren10,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1247
deren10,0.125,pmie,0.0,0.0,0.0,0.0,5.112999999999994,5.112999999999937,5.113000000000039,0.0,0.004993164062499994,0.004993164062499939,0.004993164062500038,4.1007043086439495e-17,-1,-1,-1,-1,-1
deren10,0.125,pmcd,0.27260519878816786,0.2360407124681934,0.31625949367088607,0.037565870963102016,5.304999999999973,5.304999999999937,5.305000000000011,0.037565870963102016,0.005180664062499974,0.005180664062499938,0.005180664062500011,2.950050158251521e-17,-1,-1,-1,-1,-1
deren10,0.125,pmdaproc,3.413106926186696,3.3710572519083986,3.4877269841269842,0.04488940193291409,47.09800000000034,47.09799999999996,47.09800000000078,0.04488940193291409,0.04599414062500033,0.045994140624999964,0.04599414062500076,3.5554637774095967e-16,-1,-1,-1,-1,-1
