deren_run_1,1,3972,3972,13.038404810405298
deren_run_2,1,7956,7956,16.73320053068151
deren_run_4,1,15840,15840,0.0
deren_run_8,1,31284,31284,0.0
deren_run_16,1,62204.8,62204.8,643.5508526915336
deren_run_32,1,125215.2,125215.2,458.1961370417695
deren_run_64,1,248581.6,248581.6,2135.1452643789835
deren_run_1,2,7554.4,7554.4,25.491174943497604
deren_run_2,2,15490.8,15490.8,17.44133022449836
deren_run_4,2,31131.6,31131.6,443.5908024294462
deren_run_8,2,62753,62753,131.32593041741603
deren_run_16,2,126025,126025,586.4166607455828
deren_run_32,2,252779,252779,345.9783230203881
deren_run_64,2,382718.8,382718.8,11681.7193597518
deren_run_1,3,11200,11200,0.0
deren_run_2,3,23246.4,23246.4,48.52628153897638
deren_run_4,3,47265.6,47265.6,581.1684781541408
deren_run_8,3,94181.8,94181.8,523.0594612469982
deren_run_16,3,187547,187547,1531.72060115414
deren_run_32,3,375792.6,375792.6,3656.8404121591084
deren_run_64,3,455856.8,455856.8,63557.804254867086
deren_run_1,4,15306.8,15306.8,16.099689437998485
deren_run_2,4,31262.4,31262.4,34.88266044899672
deren_run_4,4,63452.8,63452.8,141.3194961779867
deren_run_8,4,125584.8,125584.8,1438.2389231278646
deren_run_16,4,252204.4,252204.4,1233.8131138871884
deren_run_32,4,502178.4,502178.4,1761.475744936614
deren_run_64,4,470983.2,470983.2,52581.84587098479
deren_run_1,5,19449.6,19449.6,21.46625258399798
deren_run_2,5,39748.8,39748.8,53.67681063550628
deren_run_4,5,79794,79794,0.0
deren_run_8,5,158379,158379,481.3247344568945
deren_run_16,5,313340.8,313340.8,1648.3387697921808
deren_run_32,5,486307.2,486307.2,79751.99377883915
deren_run_64,5,560560.4,560560.4,48404.85352524063
deren_run_1,6,23730,23730,17.88854381999832
deren_run_2,6,48262,48262,0.0
deren_run_4,6,96172.4,96172.4,1387.6832491602686
deren_run_8,6,192086.4,192086.4,1094.778881783897
deren_run_16,6,380549.6,380549.6,1507.107428155007
deren_run_32,6,607896.8,607896.8,44345.19323669703
deren_run_64,6,589136.4,589136.4,45806.961008126265
poseidon_run_1,1,4962,4962,4.47213595499958
poseidon_run_2,1,9920,9920,0.0
poseidon_run_4,1,19952,19952,165.89153082662176
poseidon_run_8,1,39226.6,39226.6,216.59824560693005
poseidon_run_16,1,78684,78684,353.29874044496677
poseidon_run_32,1,156969.6,156969.6,222.71237055897905
poseidon_run_64,1,184276.4,184276.4,6170.240781363398
poseidon_run_1,2,9519,9519,0.0
poseidon_run_2,2,19523.4,19523.4,34.88266044899672
poseidon_run_4,2,39021.8,39021.8,546.6271123901558
poseidon_run_8,2,78343,78343,0.0
poseidon_run_16,2,156785.8,156785.8,546.6271123901558
poseidon_run_32,2,300729.6,300729.6,7822.05435291778
poseidon_run_64,2,302286,302286,6139.7563469571005
poseidon_run_1,3,13100,13100,2012.4611797498108
poseidon_run_2,3,28100,28100,2012.4611797498108
poseidon_run_4,3,59000,59000,0.0
poseidon_run_8,3,117500,117500,0.0
poseidon_run_16,3,235400,235400,821.5838362577492
poseidon_run_32,3,411200,411200,11782.402131993289
poseidon_run_64,3,398300,398300,11144.505372604026
poseidon_run_1,4,19076,19076,0.0
poseidon_run_2,4,39156,39156,0.0
poseidon_run_4,4,79316,79316,0.0
poseidon_run_8,4,157628,157628,0.0
poseidon_run_16,4,313448.8,313448.8,1099.8268954703735
poseidon_run_32,4,330717.6,330717.6,50488.32400466468
poseidon_run_64,4,345978.4,345978.4,12164.569404627524
poseidon_run_1,5,24192,24192,0.0
poseidon_run_2,5,49392,49392,0.0
poseidon_run_4,5,99792,99792,0.0
poseidon_run_8,5,198072,198072,0.0
poseidon_run_16,5,389088,389088,4140.782534739056
poseidon_run_32,5,393810.8,393810.8,9597.757170297653
poseidon_run_64,5,390096,390096,12524.17182890749
poseidon_run_1,6,29348,29348,0.0
poseidon_run_2,6,59708,59708,0.0
poseidon_run_4,6,120650.4,120650.4,309.74311937474897
poseidon_run_8,6,238556.8,238556.8,1669.4583552757463
poseidon_run_16,6,417169.6,417169.6,30586.493960570246
poseidon_run_32,6,435457.6,435457.6,16328.861711705444
poseidon_run_64,6,436369.6,436369.6,8860.822467468806
luna_run_1,1,3752,3752,4.47213595499958
luna_run_2,1,7520,7520,0.0
luna_run_4,1,15040,15040,0.0
luna_run_8,1,29704,29704,0.0
luna_run_16,1,59408,59408,0.0
luna_run_32,1,118001,118001,754.0
luna_run_64,1,122360.2,122360.2,7576.180680263637
luna_run_1,2,7201,7201,0.0
luna_run_2,2,14781,14781,0.0
luna_run_4,2,29789.4,29789.4,338.9879053889681
luna_run_8,2,59503,59503,0.0
luna_run_16,2,118893.2,118893.2,421.520699373115
luna_run_32,2,204649.2,204649.2,10453.596663349892
luna_run_64,2,200113.2,200113.2,7337.485345811601
luna_run_1,3,10640,10640,0.0
luna_run_2,3,22040,22040,0.0
luna_run_4,3,44840,44840,0.0
luna_run_8,3,89300,89300,0.0
luna_run_16,3,178220,178220,0.0
luna_run_32,3,265088,265088,14916.149637222066
luna_run_64,3,272612,272612,14806.84031115349
luna_run_1,4,14516,14516,0.0
luna_run_2,4,29796,29796,0.0
luna_run_4,4,60356,60356,0.0
luna_run_8,4,119948,119948,0.0
luna_run_16,4,239257.2,239257.2,279.95571078297365
luna_run_32,4,291695.2,291695.2,4903.904077365299
luna_run_64,4,289556,289556,12031.484031490047
luna_run_1,5,18432,18432,0.0
luna_run_2,5,37632,37632,0.0
luna_run_4,5,76128,76128,214.66252583997982
