alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
dolap10,0.03125,pmdaperfevent,12.62469167,12.40339559,12.86141687,0.1715368314,8.441,8.441,8.441,0.1715368314,0,0,0,0,-1,-1,-1,-1,-1,264
dolap10,0.03125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,879.8276296,865.5313949,888.8569261,10.30202937,-1,-1
dolap10,0.03125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7320,-1
dolap20,1,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,1,pmcd,0.4013973684,0.3855263158,0.4213684211,0.0136282967,6.266,6.266,6.266,0.0136282967,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,1,pmdaproc,5.453008596,5.409263158,5.513736842,0.03975645967,6.27,17.469,17.469,0.03975645967,0,0,0,0,-1,-1,-1,-1,-1,6515
dolap20,1,pmdalinux,1.809304035,1.748912281,1.886842105,0.05134021808,25.66,25.66,25.66,0.05134021808,0,0,0,0,-1,-1,-1,-1,-1,185
dolap20,1,pmdaperfevent,1.281338246,1.258842105,1.29454386,0.01347195389,8.441,8.441,8.441,0.01347195389,0,0,0,0,-1,-1,-1,-1,-1,528
dolap20,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,250.741683,244.0392368,258.8571053,5.471484807,-1,-1
dolap20,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13162,-1
dolap20,0.5,pmie,0.0232665812,0.01018974359,0.05094871795,0.01652673239,5.414,5.414,5.414,0.01652673239,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.5,pmcd,0.5322275214,0.5083589744,0.5517487179,0.01589805479,6.27,6.266,6.266,0.01589805479,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.5,pmdaproc,10.04910709,10.01762179,10.10539744,0.03410264083,6.27,17.469,17.469,0.03410264083,0,0,0,0,-1,-1,-1,-1,-1,6515
dolap20,0.5,pmdalinux,3.513308718,3.478287179,3.605794872,0.05338048278,25.66,25.66,25.66,0.05338048278,0,0,0,0,-1,-1,-1,-1,-1,185
dolap20,0.5,pmdaperfevent,2.560962051,2.509887179,2.612025641,0.0435961319,8.441,8.441,8.441,0.0435961319,0,0,0,0,-1,-1,-1,-1,-1,528
dolap20,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367.9026266,365.2754936,373.2388462,3.17849225,-1,-1
dolap20,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13162,-1
dolap20,0.25,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.25,pmcd,0.7891004701,0.7747692308,0.8037339744,0.01112634584,6.266,6.266,6.266,0.01112634584,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.25,pmdaproc,19.26062722,19.06505128,19.3900609,0.1303412948,6.27,17.469,17.469,0.1303412948,0,0,0,0,-1,-1,-1,-1,-1,6515
dolap20,0.25,pmdalinux,6.737791026,6.658705128,6.797025641,0.06188157213,25.66,25.66,25.66,0.06188157213,0,0,0,0,-1,-1,-1,-1,-1,185
dolap20,0.25,pmdaperfevent,5.006949145,4.971153846,5.064705128,0.03516259957,8.441,8.441,8.441,0.03516259957,0,0,0,0,-1,-1,-1,-1,-1,528
dolap20,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,581.9032515,571.2762436,588.9837885,6.708442934,-1,-1
dolap20,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13162,-1
dolap20,0.125,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.125,pmcd,1.199887782,1.169340357,1.22612253,0.02470354346,6.266,6.266,6.266,0.02470354346,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.125,pmdaproc,34.76450592,34.63643874,35.1468547,0.2145605029,6.27,17.469,17.469,0.2145605029,0,0,0,0,-1,-1,-1,-1,-1,6515
dolap20,0.125,pmdalinux,12.20712602,11.89194652,12.49465812,0.2141511498,25.66,25.66,25.66,0.2141511498,0,0,0,0,-1,-1,-1,-1,-1,185
dolap20,0.125,pmdaperfevent,8.96645553,8.760662885,9.070683761,0.1197437992,8.441,8.441,8.441,0.1197437992,0,0,0,0,-1,-1,-1,-1,-1,528
dolap20,0.125,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,969.3083649,946.9662225,1014.35102,27.25961094,-1,-1
dolap20,0.125,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13162,-1
dolap20,0.0625,pmie,0,0,0,0,5.414,5.414,5.414,0,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.0625,pmcd,0.9965110505,0.9675652174,1.036559406,0.02518647105,6.266,6.266,6.266,0.02518647105,0,0,0,0,-1,-1,-1,-1,-1,-1
dolap20,0.0625,pmdaproc,29.27149677,28.92783015,29.77455941,0.316262436,6.271844276,6.266,6.278533081,0.316262436,0,0,0,0,-1,-1,-1,-1,-1,6515
