alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
luna10,1,pmie,0.0,0.0,0.0,0.0,4.214999999999999,4.214999999999992,4.2150000000000025,0.0,0.004116210937499999,0.004116210937499992,0.0041162109375000025,4.630444574660032e-18,-1,-1,-1,-1,-1
luna10,1,pmcd,0.09249719298245614,0.07349473684210525,0.10510526315789473,0.013170232554754756,4.593999999999996,4.593999999999995,4.5939999999999985,0.013170232554754756,0.004486328124999996,0.004486328124999995,0.0044863281249999986,1.315419204820428e-18,-1,-1,-1,-1,-1
luna10,1,pmdaproc,1.678849298245614,1.6563552631578944,1.7087894736842104,0.02007979362146389,19.28899999999999,19.28899999999999,19.288999999999994,0.02007979362146389,0.01883691406249999,0.01883691406249999,0.018836914062499995,1.5515838457795456e-18,-1,-1,-1,-1,-1
luna10,1,pmdalinux,0.2258594736842105,0.21078947368421053,0.23623684210526316,0.009670697379798124,4.382999999999999,4.382999999999995,4.383000000000004,0.009670697379798124,0.004280273437499999,0.004280273437499995,0.0042802734375000035,3.3255151258919393e-18,-1,-1,-1,-1,-1
luna10,1,pmdaperfevent,0.10724824561403508,0.10512280701754385,0.11547368421052633,0.004598486660080957,5.976999999999996,5.976999999999988,5.977000000000003,0.004598486660080957,0.005836914062499996,0.005836914062499988,0.005836914062500003,6.588524522771805e-18,-1,-1,-1,-1,-1
luna10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51122.79458438597,51064.55331578947,51153.92471929825,36.006736524174755,-1
luna10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1590
luna10,0.5,pmie,0.0,0.0,0.0,0.0,4.214999999999999,4.214999999999989,4.215000000000006,0.0,0.004116210937499999,0.0041162109374999895,0.004116210937500006,6.27265070849028e-18,-1,-1,-1,-1,-1
luna10,0.5,pmcd,0.12479017094017093,0.1026923076923077,0.1355213675213675,0.012861172206670051,4.594000000000005,4.593999999999996,4.59400000000002,0.012861172206670051,0.004486328125000005,0.004486328124999996,0.004486328125000019,1.0633586064649004e-17,-1,-1,-1,-1,-1
luna10,0.5,pmdaproc,3.3298243589743604,3.2798717948717946,3.349435897435901,0.028973193050062095,19.28900000000003,19.28899999999999,19.289000000000094,0.028973193050062095,0.01883691406250003,0.01883691406249999,0.01883691406250009,4.559386618529923e-17,-1,-1,-1,-1,-1
luna10,0.5,pmdalinux,0.42611649572649574,0.41004615384615384,0.4604102564102564,0.02060875990193834,4.383000000000002,4.382999999999994,4.3830000000000116,0.02060875990193834,0.004280273437500002,0.004280273437499994,0.004280273437500011,6.673614460242278e-18,-1,-1,-1,-1,-1
luna10,0.5,pmdaperfevent,0.191752905982906,0.17921794871794874,0.20456410256410257,0.009303016092010745,5.976999999999992,5.976999999999983,5.977000000000003,0.009303016092010745,0.0058369140624999925,0.005836914062499984,0.005836914062500003,8.066930473328863e-18,-1,-1,-1,-1,-1
luna10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100493.24110393164,99838.00799999999,100950.29144871797,412.6588206047215,-1
luna10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1590
luna10,0.25,pmie,0.0,0.0,0.0,0.0,4.214999999999994,4.214999999999975,4.21500000000001,0.0,0.004116210937499994,0.004116210937499976,0.004116210937500009,1.261407607902001e-17,-1,-1,-1,-1,-1
luna10,0.25,pmcd,0.22080858974358974,0.20652564102564105,0.2312628205128205,0.009260722741784086,4.594000000000019,4.593999999999996,4.594000000000035,0.009260722741784086,0.0044863281250000185,0.004486328124999996,0.004486328125000034,1.554732306052359e-17,-1,-1,-1,-1,-1
luna10,0.25,pmdaproc,6.595724829059829,6.5830032051282075,6.608391025641024,0.011938125228548186,19.289000000000012,19.288999999999945,19.289000000000065,0.011938125228548186,0.018836914062500012,0.018836914062499946,0.018836914062500064,5.0670557102830774e-17,-1,-1,-1,-1,-1
luna10,0.25,pmdalinux,0.8021532905982905,0.7870025641025641,0.8165769230769231,0.013437496954862451,4.383000000000012,4.382999999999998,4.383000000000024,0.013437496954862451,0.004280273437500012,0.004280273437499998,0.004280273437500023,1.0753186890484457e-17,-1,-1,-1,-1,-1
luna10,0.25,pmdaperfevent,0.34588414529914535,0.33346794871794877,0.3595,0.009522392731252964,5.9770000000000065,5.976999999999983,5.977000000000031,0.009522392731252964,0.005836914062500006,0.005836914062499984,0.005836914062500031,1.8809954695392063e-17,-1,-1,-1,-1,-1
luna10,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,198124.95521837607,197992.33852136755,198239.8311282051,96.56301890480547,-1
luna10,0.25,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1590
luna10,0.125,pmie,0.0,0.0,0.0,0.0,4.214999999999998,4.214999999999965,4.215000000000034,0.0,0.004116210937499998,0.004116210937499966,0.004116210937500033,2.4422048023301037e-17,-1,-1,-1,-1,-1
luna10,0.125,pmcd,0.4706875583864119,0.4585350318471338,0.48541613588110405,0.011315541223721894,4.594000000000032,4.594000000000011,4.594000000000043,0.011315541223721894,0.0044863281250000315,0.004486328125000011,0.004486328125000042,1.2712102870738638e-17,-1,-1,-1,-1,-1
