alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints,br_datapoints
deren10,1,pmie,0.0,0.0,0.0,0.0,5.113,5.113,5.113,0.0,0.0049931640625,0.0049931640625,0.0049931640625,0.0,-1,-1,-1,-1,-1,-1
deren10,1,pmcd,0.04739508771929824,0.026342105263157892,0.052684210526315785,0.011768985787640452,5.437999999999995,5.437999999999992,5.4380000000000015,0.011768985787640452,0.005310546874999995,0.005310546874999992,0.0053105468750000015,3.8497574956310434e-18,-1,-1,-1,-1,-1,-1
deren10,1,pmdaproc,0.5630315789473684,0.552342105263158,0.5786315789473684,0.009964434677830586,47.09799999999997,47.09799999999996,47.097999999999985,0.009964434677830586,0.04599414062499997,0.045994140624999964,0.045994140624999985,7.601177430610146e-18,-1,-1,-1,-1,-1,1632
deren10,1,pmdalinux,0.010350877192982456,0.0,0.021052631578947368,0.009854278364900784,5.132999999999998,5.132999999999993,5.133000000000003,0.009854278364900784,0.005012695312499998,0.005012695312499993,0.005012695312500003,3.750775438578153e-18,-1,-1,-1,-1,-1,16
deren10,1,pmdaperfevent,0.0,0.0,0.0,0.0,6.940999999999996,6.940999999999991,6.941000000000001,0.0,0.006778320312499996,0.006778320312499991,0.006778320312500001,4.790161764288452e-18,-1,-1,-1,-1,-1,0
deren10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.939984561403506,52.62331578947368,54.593552631578945,0.7771753968243297,-1,-1
deren10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1648, -1
deren10,0.5,pmie,0.0,0.0,0.0,0.0,5.113000000000012,5.113,5.113000000000028,0.0,0.004993164062500012,0.0049931640625,0.004993164062500027,1.2040405611864206e-17,-1,-1,-1,-1,-1,-1
deren10,0.5,pmcd,0.050995384615384616,0.05071794871794872,0.05114358974358974,0.00016933174920441023,5.4379999999999935,5.43799999999999,5.437999999999996,0.00016933174920441023,0.005310546874999994,0.00531054687499999,0.005310546874999996,2.8504415364788053e-18,-1,-1,-1,-1,-1,-1
deren10,0.5,pmdaproc,0.9953286324786322,0.9740256410256405,1.0251794871794873,0.01906776970383708,47.09799999999996,47.09799999999996,47.09799999999997,0.01906776970383708,0.045994140624999964,0.045994140624999964,0.04599414062499997,3.800588715305073e-18,-1,-1,-1,-1,-1,1632
deren10,0.5,pmdalinux,0.0432576923076923,0.0342051282051282,0.051307692307692304,0.007730870752405647,5.1330000000000044,5.132999999999996,5.133000000000015,0.007730870752405647,0.005012695312500004,0.005012695312499996,0.005012695312500015,7.620946456013688e-18,-1,-1,-1,-1,-1,16
deren10,0.5,pmdaperfevent,0.0,0.0,0.0,0.0,6.941000000000004,6.940999999999991,6.941000000000015,0.0,0.006778320312500004,0.006778320312499991,0.006778320312500015,9.281175896849344e-18,-1,-1,-1,-1,-1,0
deren10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,104.68452179487176,103.2438717948718,105.5685769230769,0.9357773005701273,-1,-1
deren10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1648, -1
deren10,0.25,pmie,0.0,0.0,0.0,0.0,5.113000000000027,5.113,5.113000000000042,0.0,0.0049931640625000264,0.0049931640625,0.004993164062500041,1.6473024005889853e-17,-1,-1,-1,-1,-1,-1
deren10,0.25,pmcd,0.14179004219409283,0.13141012658227846,0.1518607594936709,0.009539122038137884,5.438000000000017,5.43799999999999,5.438000000000049,0.009539122038137884,0.005310546875000016,0.00531054687499999,0.0053105468750000474,2.535160522138169e-17,-1,-1,-1,-1,-1,-1
deren10,0.25,pmdaproc,1.7915165400843882,1.7713164556962024,1.8217341772151896,0.027530125192674417,47.09800000000001,47.09799999999996,47.098000000000205,0.027530125192674417,0.04599414062500001,0.045994140624999964,0.0459941406250002,1.0477500027681816e-16,-1,-1,-1,-1,-1,1632
deren10,0.25,pmdalinux,0.0882428270042194,0.07596202531645568,0.10126582278481013,0.009267230960894693,5.133000000000015,5.132999999999996,5.133000000000026,0.009267230960894693,0.005012695312500015,0.005012695312499996,0.005012695312500025,1.2180180254354993e-17,-1,-1,-1,-1,-1,16
deren10,0.25,pmdaperfevent,0.0,0.0,0.0,0.0,6.940999999999997,6.940999999999963,6.941000000000018,0.0,0.006778320312499997,0.006778320312499964,0.006778320312500017,2.0984060137714585e-17,-1,-1,-1,-1,-1,0
deren10,0.25,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,205.2874602953587,202.1278354430379,206.63282784810136,1.886326168671672,-1,-1
