system,kernel,metric,freq,overhead,ht
luna_run,sum,12,8,1.001633470464042,1
luna_run,sum,12,16,1.0008371139711818,1
luna_run,sum,12,32,1.0013769450097048,1
luna_run,stream,12,1,1.0028008435174416,1
luna_run,stream,12,2,1.0064752368312322,1
luna_run,stream,12,4,1.0008606787871779,1
luna_run,stream,12,8,1.0001260985826035,1
luna_run,stream,12,16,0.9981329575247371,1
luna_run,stream,12,32,1.0012063306711485,1
luna_run,peakflops,12,1,1.0000756254345413,1
luna_run,peakflops,12,2,1.0000915354137576,1
luna_run,peakflops,12,4,1.0001708731767829,1
luna_run,peakflops,12,8,1.0002275127027926,1
luna_run,peakflops,12,16,1.0001971776757537,1
luna_run,peakflops,12,32,1.0002838340292182,1
luna_run,ddot,12,1,1.0213667839656209,1
luna_run,ddot,12,2,1.020626762119439,1
luna_run,ddot,12,4,1.0214326816695856,1
luna_run,ddot,12,8,1.0219181697303112,1
luna_run,ddot,12,16,1.0197174674981437,1
luna_run,ddot,12,32,1.013898169308691,1
luna_run,daxpy,12,1,0.9898156185716162,1
luna_run,daxpy,12,2,0.99570947364659,1
luna_run,daxpy,12,4,1.0003837871905525,1
luna_run,daxpy,12,8,1.0007278485580144,1
luna_run,daxpy,12,16,0.9987823829033253,1
luna_run,daxpy,12,32,1.0052594790418792,1
luna_run,triad,16,1,0.8979160795806796,1
luna_run,triad,16,2,0.7036226761459247,1
luna_run,triad,16,4,0.7995626041658279,1
luna_run,triad,16,8,1.0012559278910798,1
luna_run,triad,16,16,0.8075859896458161,1
luna_run,triad,16,32,0.8060457443981932,1
luna_run,sum,16,1,1.0010102522153415,1
luna_run,sum,16,2,1.0003632711851222,1
luna_run,sum,16,4,1.0013800061763174,1
luna_run,sum,16,8,1.0018673930518789,1
luna_run,sum,16,16,1.0026032470456223,1
luna_run,sum,16,32,1.0033310859710374,1
luna_run,stream,16,1,1.0029267391185461,1
luna_run,stream,16,2,0.9993094253445801,1
luna_run,stream,16,4,1.0024979114925425,1
luna_run,stream,16,8,0.9995553317756745,1
luna_run,stream,16,16,1.0060599717509329,1
luna_run,stream,16,32,1.0062340297539238,1
luna_run,peakflops,16,1,1.0000300155539965,1
luna_run,peakflops,16,2,1.0001167742931099,1
luna_run,peakflops,16,4,1.000113168184149,1
luna_run,peakflops,16,8,1.000108183268821,1
luna_run,peakflops,16,16,1.000166941632475,1
luna_run,peakflops,16,32,1.0006581148853284,1
luna_run,ddot,16,1,0.9966834062586668,1
luna_run,ddot,16,2,0.9815248691049475,1
