machine,kernel,metric,no_metric,frequency,error
deren_run,sum,instruction_retired_err,4,32,0.058948296217779535,1
deren_run,sum,l1_bw,4,32,-0.012187011059521226,1
deren_run,sum,ai,4,32,0.1255230913025423,1
deren_run,sum,ai_err,4,32,-0.8747187262989824,1
deren_run,stream,fp_arith_scalar_double_err,4,1,-0.0046259921456139,1
deren_run,stream,instruction_retired_err,4,1,-0.0026035270455626314,1
deren_run,stream,l1_bw,4,1,-0.00328481786238642,1
deren_run,stream,ai,4,1,0.08322195331540719,1
deren_run,stream,ai_err,4,1,-0.9168034447665397,1
deren_run,stream,fp_arith_scalar_double_err,4,2,-0.006121692249975176,1
deren_run,stream,instruction_retired_err,4,2,-0.004146945862521795,1
deren_run,stream,l1_bw,4,2,-0.003562378702268142,1
deren_run,stream,ai,4,2,0.08311952868651923,1
deren_run,stream,ai_err,4,2,-0.9168442262542978,1
deren_run,stream,fp_arith_scalar_double_err,4,4,-0.0027352958837941342,1
deren_run,stream,instruction_retired_err,4,4,-0.0006959443586153822,1
deren_run,stream,l1_bw,4,4,-0.0008583216951396191,1
deren_run,stream,ai,4,4,0.0831767713041964,1
deren_run,stream,ai_err,4,4,-0.9169097755773258,1
deren_run,stream,fp_arith_scalar_double_err,4,8,8.749563143262044e-05,1
deren_run,stream,instruction_retired_err,4,8,0.0020499409578661415,1
deren_run,stream,l1_bw,4,8,0.002043596079178087,1
deren_run,stream,ai,4,8,0.08317070370687066,1
deren_run,stream,ai_err,4,8,-0.9167992782084223,1
deren_run,stream,fp_arith_scalar_double_err,4,16,-0.004925933735603088,1
deren_run,stream,instruction_retired_err,4,16,0.03782012909283872,1
deren_run,stream,l1_bw,4,16,0.0018569558215702608,1
deren_run,stream,ai,4,16,0.08276968516318796,1
deren_run,stream,ai_err,4,16,-0.9173451753051935,1
deren_run,stream,fp_arith_scalar_double_err,4,32,-0.007644433023801976,1
deren_run,stream,instruction_retired_err,4,32,0.061895526287109474,1
deren_run,stream,l1_bw,4,32,-0.007732931519576826,1
deren_run,stream,ai,4,32,0.08334647192986959,1
deren_run,stream,ai_err,4,32,-0.9151145576686318,1
deren_run,peakflops,fp_arith_scalar_double_err,4,1,-0.0001284995533406618,1
deren_run,peakflops,instruction_retired_err,4,1,0.000513060064536896,1
deren_run,peakflops,l1_bw,4,1,0.007506888761879033,1
deren_run,peakflops,ai,4,1,1.9848467421980363,1
deren_run,peakflops,ai_err,4,1,0.9861636933496216,1
deren_run,peakflops,fp_arith_scalar_double_err,4,2,-0.010106592510322749,1
deren_run,peakflops,instruction_retired_err,4,2,-0.009466152940735854,1
deren_run,peakflops,l1_bw,4,2,-0.0038835380150019773,1
deren_run,peakflops,ai,4,2,1.9875063497230006,1
deren_run,peakflops,ai_err,4,2,0.9861502644903359,1
deren_run,peakflops,fp_arith_scalar_double_err,4,4,-0.0041993571647245265,1
deren_run,peakflops,instruction_retired_err,4,4,-0.003518357514802747,1
deren_run,peakflops,l1_bw,4,4,0.0018290723574178119,1
deren_run,peakflops,ai,4,4,1.9879686109386392,1
deren_run,peakflops,ai_err,4,4,0.9842890163687612,1
deren_run,peakflops,fp_arith_scalar_double_err,4,8,-0.0005347312926831364,1
deren_run,peakflops,instruction_retired_err,4,8,0.00011130201358236173,1
deren_run,peakflops,l1_bw,4,8,0.006626538753486966,1
deren_run,peakflops,ai,4,8,1.9857744009933191,1
deren_run,peakflops,ai_err,4,8,0.9845239788089055,1
deren_run,peakflops,fp_arith_scalar_double_err,4,16,-0.005647413967686472,1
deren_run,peakflops,instruction_retired_err,4,16,0.037079665615693605,1
deren_run,peakflops,l1_bw,4,16,0.004489418179584871,1
deren_run,peakflops,ai,4,16,1.9799257550137028,1
deren_run,peakflops,ai_err,4,16,0.9846809526981797,1
deren_run,peakflops,fp_arith_scalar_double_err,4,32,-0.007588839183002594,1
deren_run,peakflops,instruction_retired_err,4,32,0.05853599778420389,1
deren_run,peakflops,l1_bw,4,32,-0.0009561334916065678,1
deren_run,peakflops,ai,4,32,1.9867873216934875,1
deren_run,peakflops,ai_err,4,32,0.9779748400327279,1
