alias,interval,component,cpu_use_mean,cpu_use_min,cpu_use_max,cpu_use_std,mem_use_mean,mem_use_min,mem_use_max,mem_use_std,io_use_mean,io_use_min,io_use_max,io_use_std,net_use_mean,net_use_min,net_use_max,net_use_std,total_datapoints
luna10,1,pmie,0.0,0.0,0.0,0.0,4.214999999999999,4.214999999999992,4.2150000000000025,0.0,0.004116210937499999,0.004116210937499992,0.0041162109375000025,4.630444574660032e-18,-1,-1,-1,-1,-1
luna10,1,pmcd,0.06754578947368421,0.05260526315789473,0.08392631578947368,0.014464846296914179,4.589999999999998,4.58999999999999,4.5900000000000025,0.014464846296914179,0.004482421874999998,0.00448242187499999,0.0044824218750000025,5.2545229385848046e-18,-1,-1,-1,-1,-1
luna10,1,pmdaproc,1.7061177192982457,1.681842105263158,1.7212763157894742,0.01540751127413736,19.28899999999999,19.28899999999999,19.288999999999994,0.01540751127413736,0.01883691406249999,0.01883691406249999,0.018836914062499995,1.5515838457795456e-18,-1,-1,-1,-1,-1
luna10,1,pmdalinux,0.22752280701754385,0.2,0.263,0.024430577801862172,4.382999999999999,4.382999999999995,4.383000000000004,0.024430577801862172,0.004280273437499999,0.004280273437499995,0.0042802734375000035,3.3255151258919393e-18,-1,-1,-1,-1,-1
luna10,1,pmdaperfevent,0.11668263157894736,0.10510526315789473,0.13160526315789473,0.011472777849280765,5.976999999999996,5.976999999999988,5.977000000000003,0.011472777849280765,0.005836914062499996,0.005836914062499988,0.005836914062500003,6.588524522771805e-18,-1,-1,-1,-1,-1
luna10,1,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.7629,53.417500000000004,54.580999999999996,0.4791700376692991,-1
luna10,1,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1226
luna10,0.5,pmie,0.0,0.0,0.0,0.0,4.214999999999999,4.214999999999989,4.215000000000006,0.0,0.004116210937499999,0.0041162109374999895,0.004116210937500006,6.27265070849028e-18,-1,-1,-1,-1,-1
luna10,0.5,pmcd,0.11224094017094016,0.1019102564102564,0.12277948717948718,0.009361224383163358,4.59,4.589999999999992,4.590000000000008,0.009361224383163358,0.004482421875,0.004482421874999992,0.004482421875000008,6.296592210436858e-18,-1,-1,-1,-1,-1
luna10,0.5,pmdaproc,3.3347475213675217,3.3301153846153855,3.3505025641025634,0.008839676839358249,19.28900000000003,19.28899999999999,19.289000000000094,0.008839676839358249,0.01883691406250003,0.01883691406249999,0.01883691406250009,4.559386618529923e-17,-1,-1,-1,-1,-1
luna10,0.5,pmdalinux,0.3968284615384616,0.38539743589743597,0.41143589743589754,0.009622740536729266,4.383000000000002,4.382999999999994,4.3830000000000116,0.009622740536729266,0.004280273437500002,0.004280273437499994,0.004280273437500011,6.673614460242278e-18,-1,-1,-1,-1,-1
luna10,0.5,pmdaperfevent,0.16849564102564102,0.15369230769230768,0.1841897435897436,0.014110008396502664,5.976999999999992,5.976999999999983,5.977000000000003,0.014110008396502664,0.0058369140624999925,0.005836914062499984,0.005836914062500003,8.066930473328863e-18,-1,-1,-1,-1,-1
luna10,0.5,network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101.4408,100.92499999999998,101.94149999999999,0.4723489970350266,-1
luna10,0.5,datapoints,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1226
luna10,0.25,pmie,0.0,0.0,0.0,0.0,4.214999999999994,4.214999999999974,4.21500000000001,0.0,0.004116210937499994,0.004116210937499975,0.004116210937500009,1.2929218872063998e-17,-1,-1,-1,-1,-1
luna10,0.25,pmcd,0.2759736080101668,0.26351269035532987,0.3006708860759494,0.015024861139002482,4.589999999999991,4.58999999999997,4.590000000000004,0.015024861139002482,0.004482421874999991,0.00448242187499997,0.004482421875000004,1.3993854182897094e-17,-1,-1,-1,-1,-1
luna10,0.25,pmdaproc,6.579298699005874,6.563299363057325,6.6013686440677946,0.014392737382952134,19.28900000000001,19.28899999999994,19.289000000000065,0.014392737382952134,0.01883691406250001,0.018836914062499942,0.018836914062500064,5.212259517523321e-17,-1,-1,-1,-1,-1
luna10,0.25,pmdalinux,0.7262444620760039,0.7107215189873417,0.7512360406091373,0.01584703872684003,4.383000000000012,4.382999999999997,4.383000000000025,0.01584703872684003,0.004280273437500012,0.004280273437499997,0.004280273437500024,1.126569012842004e-17,-1,-1,-1,-1,-1
